,group,test_f1_150,test_f1_20,test_avg_distance,test_avg_distance_rp,_runtime
34,best_code15_xlstm_ft,0.9929631948471068,0.9620349407196044,4.432384490966797,6.285027027130127,164
36,best_code15_xlstm_ft,0.9914028644561768,0.9572940468788148,4.685110092163086,6.6711649894714355,173
38,best_code15_xlstm_ft,0.9933515787124634,0.9637089371681212,4.33735466003418,6.417379856109619,187
35,best_code15_xlstm_ft,0.9911885261535645,0.9666794538497924,4.274859428405762,7.688689708709717,161
39,best_code15_xlstm_ft,0.9913995265960692,0.9608960151672364,4.514720439910889,6.689850807189941,199
30,best_code15_xlstm_lp,0.9739096164703368,0.9366942644119264,4.525340557098389,19.60226058959961,104
31,best_code15_xlstm_lp,0.9581226110458374,0.9313822388648988,4.251187324523926,30.92184066772461,117
32,best_code15_xlstm_lp,0.9577008485794068,0.9336502552032472,4.120312690734863,31.69257545471191,110
33,best_code15_xlstm_lp,0.9638118147850036,0.9367883801460266,4.5141682624816895,27.81013298034668,108
29,best_code15_xlstm_lp,0.9646444320678712,0.942266047000885,4.251013278961182,27.228572845458984,166
59,best_dinoecg_xlstm_ft,0.9949278831481934,0.9632714986801147,4.43186616897583,4.88759183883667,214
58,best_dinoecg_xlstm_ft,0.9949278831481934,0.9596682786941528,4.523404598236084,4.777036666870117,199
57,best_dinoecg_xlstm_ft,0.994541883468628,0.9598037004470824,4.652071475982666,4.590200424194336,208
54,best_dinoecg_xlstm_ft,0.9935609698295592,0.9597733616828918,4.691490173339844,5.286969184875488,151
55,best_dinoecg_xlstm_ft,0.9951238632202148,0.9609360098838806,4.54140567779541,4.7318878173828125,213
53,best_dinoecg_xlstm_lp,0.929032266139984,0.8720698952674866,4.8500237464904785,52.036651611328125,110
52,best_dinoecg_xlstm_lp,0.9338859915733336,0.8695138692855835,4.8488593101501465,49.351585388183594,107
51,best_dinoecg_xlstm_lp,0.930561363697052,0.8742586374282837,4.778815269470215,51.37493133544922,105
50,best_dinoecg_xlstm_lp,0.9356507062911988,0.87342768907547,4.844717502593994,46.696067810058594,112
49,best_dinoecg_xlstm_lp,0.930561363697052,0.8703044056892395,4.8160014152526855,51.756385803222656,102
47,best_ecgcpc_ft,0.9904762506484984,0.9689936637878418,4.4080939292907715,3.834666967391968,103
45,best_ecgcpc_ft,0.990302562713623,0.959713876247406,4.798189640045166,3.179603338241577,105
46,best_ecgcpc_ft,0.9926155805587769,0.9756844639778136,3.96529221534729,3.186409711837769,100
48,best_ecgcpc_ft,0.987371265888214,0.970728874206543,4.4137115478515625,4.619746208190918,101
44,best_ecgcpc_ft,0.9840169548988342,0.9622641801834106,5.419005393981934,2.94671630859375,121
43,best_ecgcpc_lp,0.8997024893760681,0.8894514441490173,3.8449923992156982,72.9251937866211,92
41,best_ecgcpc_lp,0.8797920346260071,0.8704261183738708,3.70546817779541,93.2205047607422,138
40,best_ecgcpc_lp,0.8600396513938904,0.8533802032470703,3.5507285594940186,110.48202514648438,145
37,best_ecgcpc_lp,0.8856834769248962,0.8777040243148804,3.723846197128296,90.34871673583984,106
42,best_ecgcpc_lp,0.8186812996864319,0.8125998377799988,3.3340842723846436,181.2422790527344,89
70,best_ecgfm_ft,0.42251479625701904,0.08118147403001785,88.95687866210938,46.866477966308594,108
71,best_ecgfm_ft,0.42010632157325745,0.08186562359333038,89.22917175292969,39.982872009277344,105
72,best_ecgfm_ft,0.40470364689826965,0.08100950717926025,88.50289154052734,40.34564971923828,121
73,best_ecgfm_ft,0.39996275305747986,0.08254698663949966,88.40316009521484,41.530555725097656,109
74,best_ecgfm_ft,0.4273289442062378,0.08249097317457199,89.27801513671875,46.14559555053711,103
0,best_ecgfm_lp,0.4076143801212311,0.0836990624666214,87.94102478027344,40.77384948730469,268
1,best_ecgfm_lp,0.4150795042514801,0.08310434222221375,89.32994079589844,41.73763275146485,152
2,best_ecgfm_lp,0.4000742733478546,0.08551284670829773,87.6965560913086,40.89995574951172,156
3,best_ecgfm_lp,0.4052705764770508,0.0816039964556694,88.80372619628906,40.462440490722656,142
4,best_ecgfm_lp,0.4322477579116822,0.08214154839515686,88.9944076538086,49.26587677001953,106
56,best_jepa_ft,0.9757319092750548,0.8799019455909729,5.9103779792785645,3.8725485801696777,326
10,best_jepa_ft,0.9701035022735596,0.8710125088691711,6.34679651260376,4.467331409454346,272
11,best_jepa_ft,0.9765730500221252,0.8703221082687378,5.730762004852295,5.091695785522461,246
12,best_jepa_ft,0.9729522466659546,0.8397125005722046,6.395848751068115,3.5486857891082764,262
13,best_jepa_ft,0.9766002297401428,0.8689918518066406,5.787284851074219,4.842573165893555,309
5,best_jepa_lp,0.9193252921104432,0.5378128886222839,12.059228897094728,44.80352783203125,321
6,best_jepa_lp,0.9223929047584534,0.5196611285209656,12.500899314880373,43.36638259887695,297
7,best_jepa_lp,0.9225466251373292,0.5276025533676147,12.15590000152588,44.05927658081055,226
8,best_jepa_lp,0.9227666258811952,0.5213257670402527,12.402310371398926,42.223533630371094,218
9,best_jepa_lp,0.9179797768592834,0.5248115658760071,12.442666053771973,46.81364822387695,230
84,best_stmem_ft,0.987659215927124,0.984362781047821,3.1248464584350586,6.555837154388428,258
83,best_stmem_ft,0.9888388514518738,0.9869012832641602,3.2949538230895996,6.345717906951904,256
80,best_stmem_ft,0.9868447184562684,0.9839404225349426,2.835101366043091,8.534041404724121,308
81,best_stmem_ft,0.9832710027694702,0.9813175797462464,2.822248697280884,10.260112762451172,256
82,best_stmem_ft,0.9848394989967346,0.9823043942451476,2.6245622634887695,10.356612205505373,241
75,best_stmem_lp,0.7775717973709106,0.6319983601570129,13.54992961883545,154.9977569580078,233
76,best_stmem_lp,0.8061946034431458,0.6387536525726318,20.795942306518555,118.8405532836914,233
77,best_stmem_lp,0.7806228399276733,0.6305521130561829,11.151947021484377,143.62498474121094,202
78,best_stmem_lp,0.7875600457191467,0.6317957043647766,15.927947998046877,134.44212341308594,193
79,best_stmem_lp,0.8248757719993591,0.6274077892303467,16.763301849365234,99.4973602294922,166
69,best_trans_ft,0.8155624270439148,0.5991832613945007,25.80780601501465,7.907378673553467,174
68,best_trans_ft,0.7996818423271179,0.6142857074737549,31.243207931518555,7.812397480010986,157
67,best_trans_ft,0.8160208463668823,0.6224109530448914,27.348331451416016,8.50527572631836,178
66,best_trans_ft,0.8076490759849548,0.6195165514945984,28.48971176147461,7.556269645690918,165
64,best_trans_ft,0.8379552364349365,0.6370702385902405,25.018789291381836,7.777364253997803,173
60,best_trans_lp,0.6094954013824463,0.3174745738506317,47.46392822265625,17.220718383789062,92
63,best_trans_lp,0.616578996181488,0.32293885946273804,46.95084381103515,16.253032684326172,92
62,best_trans_lp,0.6202803254127502,0.32262492179870605,46.43669509887695,17.070472717285156,94
61,best_trans_lp,0.6231920719146729,0.32368701696395874,46.01030349731445,17.057235717773438,96
65,best_trans_lp,0.6221997141838074,0.324646532535553,46.31016540527344,16.727922439575195,108
24,best_xlstm_ft,0.9953198432922364,0.9658184051513672,4.509382724761963,4.882930755615234,175
22,best_xlstm_ft,0.9951162338256836,0.9685414433479308,4.156872749328613,5.69881534576416,145
21,best_xlstm_ft,0.9953216314315796,0.9594722986221312,4.562106609344482,4.536492347717285,163
20,best_xlstm_ft,0.9953234195709229,0.9669829607009888,4.530142307281494,4.358213424682617,165
19,best_xlstm_ft,0.9943392276763916,0.96469247341156,4.408786773681641,5.230147838592529,203
17,best_xlstm_lp,0.9499693512916564,0.8921282887458801,4.639428615570068,38.08570861816406,121
16,best_xlstm_lp,0.9459016919136048,0.8923197388648987,4.663419723510742,40.8875846862793,104
15,best_xlstm_lp,0.949131727218628,0.8926069736480713,4.664265155792236,38.64468765258789,108
14,best_xlstm_lp,0.9536019563674928,0.8930088877677917,4.806646347045898,35.487815856933594,162
18,best_xlstm_lp,0.9536208510398864,0.8902627229690552,4.868785858154297,34.736549377441406,111
23,best_xlstm_sup,0.9910330772399902,0.9658480286598206,4.802061080932617,6.29751443862915,133
28,best_xlstm_sup,0.9912161231040956,0.9674436450004578,4.5360493659973145,6.935898780822754,184
25,best_xlstm_sup,0.9900487661361694,0.9671343564987184,4.607967376708984,6.874386787414551,174
26,best_xlstm_sup,0.9882766604423524,0.9685925245285034,4.756092548370361,8.270280838012695,184
27,best_xlstm_sup,0.9877025485038756,0.96234792470932,4.9060163497924805,8.053071022033691,170
