,group,test_auroc_avg,test_f1_avg,test_acc_avg,_runtime
56,best_code15_xlstm_ft,0.7331799864768982,0.4384426176548004,0.4423612356185913,3455.865351253
61,best_code15_xlstm_ft,0.7339693307876587,0.4367389678955078,0.44134441018104553,3420.733672965
62,best_code15_xlstm_ft,0.7319566607475281,0.4403234124183655,0.4434114396572113,3367.752880605
63,best_code15_xlstm_ft,0.7321795225143433,0.438152551651001,0.4423110485076904,3417.806811651
64,best_code15_xlstm_ft,0.7338072657585144,0.44141289591789246,0.44408488273620605,3472.80355076
59,best_code15_xlstm_lp,0.7141773104667664,0.42593178153038025,0.4330216944217682,2515.56300602
57,best_code15_xlstm_lp,0.7135803699493408,0.42612484097480774,0.4334409534931183,2596.482928229
58,best_code15_xlstm_lp,0.7153033018112183,0.4267914295196533,0.4333113729953766,2654.10600218
60,best_code15_xlstm_lp,0.7142435908317566,0.42706334590911865,0.4337826371192932,2491.06511776
55,best_code15_xlstm_lp,0.7152541875839233,0.4263888001441955,0.43361562490463257,2630.432083606
79,best_dinoecg_xlstm_ft,0.7442262768745422,0.4497013390064239,0.4510933160781861,3126.161522807
78,best_dinoecg_xlstm_ft,0.7453039884567261,0.44756805896759033,0.4490961730480194,3194.377182037
77,best_dinoecg_xlstm_ft,0.7443187236785889,0.446547418832779,0.4490716159343719,3323.680587467
76,best_dinoecg_xlstm_ft,0.7452518939971924,0.45151636004447937,0.4527498185634613,3152.147269587
75,best_dinoecg_xlstm_ft,0.7428305149078369,0.4482021629810333,0.4499965906143189,3185.332140816
71,best_dinoecg_xlstm_lp,0.7355406284332275,0.43703848123550415,0.4409342408180237,2379.162629537
70,best_dinoecg_xlstm_lp,0.7357808947563171,0.4368225634098053,0.4407953917980194,2287.804109738
72,best_dinoecg_xlstm_lp,0.7355932593345642,0.43709808588027954,0.4411932229995727,2249.46993253
73,best_dinoecg_xlstm_lp,0.7357116937637329,0.4373086988925934,0.4413517117500305,2257.419844877
74,best_dinoecg_xlstm_lp,0.734372615814209,0.43771085143089294,0.4416443109512329,2267.729191299
67,best_ecgcpc_ft,0.737070620059967,0.4576525092124939,0.4586058855056762,7189.078238978
66,best_ecgcpc_ft,0.7426769137382507,0.4589342772960663,0.45948994159698486,7180.707176884
65,best_ecgcpc_ft,0.7394059300422668,0.4536474645137787,0.45579794049263,7207.66049668
68,best_ecgcpc_ft,0.7378499507904053,0.4554766118526459,0.4568495750427246,7171.353742386
69,best_ecgcpc_ft,0.739945650100708,0.4526182413101196,0.454388827085495,7177.140669554
84,best_ecgcpc_lp,0.7124106287956238,0.4225534498691559,0.4278732240200043,3546.503167345
81,best_ecgcpc_lp,0.7123302221298218,0.42382895946502686,0.4289727807044983,3506.458605174
82,best_ecgcpc_lp,0.7127822041511536,0.4209650158882141,0.4260717928409576,3540.591623395
80,best_ecgcpc_lp,0.7127360105514526,0.4231546819210053,0.4278038442134857,3545.36282231
83,best_ecgcpc_lp,0.7126656174659729,0.42259925603866577,0.4278365671634674,3553.43230208
0,best_ecgfm_ft,0.7165935635566711,0.43394431471824646,0.4390297532081604,1961.508965019
1,best_ecgfm_ft,0.7117332220077515,0.4378634095191955,0.4398179054260254,2053.340014655
2,best_ecgfm_ft,0.7172946929931641,0.4345744252204895,0.4369569420814514,1905.166898606
4,best_ecgfm_ft,0.715575635433197,0.4372539818286896,0.4385582208633423,2052.757140233
3,best_ecgfm_ft,0.7111721634864807,0.4411514699459076,0.4433820843696594,2056.512143599
9,best_ecgfm_lp,0.7109914422035217,0.424298882484436,0.43045443296432495,2155.70094228
7,best_ecgfm_lp,0.7115176320075989,0.42457520961761475,0.4308135211467743,2270.516071435
5,best_ecgfm_lp,0.711578369140625,0.4241456985473633,0.4303024709224701,2250.394517404
6,best_ecgfm_lp,0.7113003730773926,0.4243591129779816,0.4303658604621887,2208.381894152
8,best_ecgfm_lp,0.7112792134284973,0.42361903190612793,0.42980727553367615,2177.292055706
13,best_jepa_ft,0.734808087348938,0.4347516894340515,0.4405228197574615,51244.670047473
12,best_jepa_ft,0.7360773682594299,0.4331441819667816,0.43971648812294006,50682.735439053
11,best_jepa_ft,0.7356734275817871,0.4340066611766815,0.4399482905864715,51750.977255816
44,best_jepa_ft,0.7351767420768738,0.4347798526287079,0.4405137598514557,66017.431263112
10,best_jepa_ft,0.7337354421615601,0.43465298414230347,0.4406627416610718,51879.600428526
45,best_jepa_lp,0.7216597199440002,0.4238874316215515,0.4316695630550385,10784.337288671
