,group,test_f1_150,test_f1_20,test_f1_10,test_f1_5,test_avg_distance_rp,test_avg_distance,_runtime
30,best_code15_xlstm_ft,0.985738217830658,0.8923532366752625,0.7064955234527588,0.3646811842918396,7.400244235992432,12.675156593322754,259
31,best_code15_xlstm_ft,0.9848718047142028,0.8913376331329346,0.7059659957885742,0.3647099435329437,7.719789981842041,12.659937858581545,249
32,best_code15_xlstm_ft,0.986234724521637,0.8959808945655823,0.7089817523956299,0.36561262607574463,6.516507148742676,12.910381317138672,267
33,best_code15_xlstm_ft,0.98664528131485,0.8991175889968872,0.7116737961769104,0.36757075786590576,8.871430397033691,11.921860694885254,261
35,best_code15_xlstm_ft,0.9884599447250366,0.8963360786437988,0.7082024216651917,0.3663795292377472,8.480914115905762,10.20244026184082,258
25,best_code15_xlstm_lp,0.968665361404419,0.7282558083534241,0.5464860200881958,0.28116947412490845,36.87860870361328,10.55920696258545,142
27,best_code15_xlstm_lp,0.9694250226020812,0.72691810131073,0.5453605055809021,0.28045332431793213,34.30540466308594,10.879317283630373,237
28,best_code15_xlstm_lp,0.9685795307159424,0.7250736951828003,0.5442529916763306,0.280486136674881,37.57818603515625,10.707019805908203,221
29,best_code15_xlstm_lp,0.9689909815788268,0.7299732565879822,0.5482760667800903,0.28268963098526,38.44313049316406,10.48643970489502,141
26,best_code15_xlstm_lp,0.9687509536743164,0.7219139933586121,0.5423054695129395,0.27912119030952454,32.883975982666016,11.308701515197754,230
49,best_dinoecg_xlstm_ft,0.9875440001487732,0.9085965156555176,0.7226813435554504,0.3702689707279206,4.046253681182861,11.11134433746338,279
48,best_dinoecg_xlstm_ft,0.9924890398979188,0.910686194896698,0.7208312153816223,0.3689326345920563,4.19480037689209,9.493422508239746,254
47,best_dinoecg_xlstm_ft,0.9931421279907228,0.9149219989776612,0.7304840683937073,0.3753262758255005,4.583550930023193,8.203362464904785,251
46,best_dinoecg_xlstm_ft,0.9930666089057922,0.9151462316513062,0.7241804599761963,0.3710624575614929,4.100810527801514,8.370950698852539,261
45,best_dinoecg_xlstm_ft,0.9929755926132202,0.9170669913291932,0.7293055653572083,0.3740193843841553,4.20414400100708,8.678168296813965,258
42,best_dinoecg_xlstm_lp,0.9678055047988892,0.6085044741630554,0.4630080759525299,0.23735609650611875,10.942866325378418,14.251585006713867,194
41,best_dinoecg_xlstm_lp,0.9688904285430908,0.6096652746200562,0.4634933173656464,0.23754572868347168,10.22496509552002,14.163934707641602,205
