,group,test_loss,test_ci,_runtime,val_ci
51,best_code15_xlstm_ft,1.742664098739624,0.6929585337638855,2024.705155694,0.8189479112625122
53,best_code15_xlstm_ft,1.7458407878875732,0.6964281797409058,2454.531917373,0.8140853643417358
54,best_code15_xlstm_ft,1.7429786920547483,0.691830039024353,2351.658670465,0.8161476850509644
46,best_code15_xlstm_ft,1.7417012453079224,0.6945833563804626,1959.632719854,0.8230466246604919
52,best_code15_xlstm_ft,1.742061734199524,0.6941098570823669,1829.059527406,0.8245326280593872
50,best_code15_xlstm_lp,1.7417536973953247,0.6911304593086243,1460.166950702,0.8177676200866699
49,best_code15_xlstm_lp,1.7429113388061523,0.6934835910797119,1459.767297828,0.8231331706047058
45,best_code15_xlstm_lp,1.7429362535476685,0.6911081671714783,1437.03350581,0.8274291157722473
47,best_code15_xlstm_lp,1.743488073348999,0.6940439939498901,1203.475433911,0.8221591711044312
48,best_code15_xlstm_lp,1.7417792081832886,0.6907011866569519,1153.54072333,0.8174690008163452
72,best_dinoecg_xlstm_ft,1.741036057472229,0.7065242528915405,1376.075044505,0.8296143412590027
74,best_dinoecg_xlstm_ft,1.735460877418518,0.7083399891853333,1366.956893229,0.837711751461029
73,best_dinoecg_xlstm_ft,1.7399849891662598,0.70779949426651,1627.252981624,0.8312736749649048
70,best_dinoecg_xlstm_ft,1.737438440322876,0.7074524760246277,1380.61815479,0.825869619846344
71,best_dinoecg_xlstm_ft,1.7412443161010742,0.7080048322677612,1452.093059438,0.8438572883605957
69,best_dinoecg_xlstm_lp,1.7386430501937866,0.7057242393493652,1464.090542073,0.8251060843467712
65,best_dinoecg_xlstm_lp,1.7386761903762815,0.7049987316131592,1445.613342671,0.8301437497138977
66,best_dinoecg_xlstm_lp,1.7381702661514282,0.7051989436149597,1475.299073943,0.8388248682022095
67,best_dinoecg_xlstm_lp,1.7384637594223022,0.7089865207672119,1462.579654749,0.836645245552063
68,best_dinoecg_xlstm_lp,1.7396032810211182,0.708037257194519,1472.432729541,0.8389550447463989
61,best_ecgcpc_ft,1.5169826745986938,0.6814218163490295,16824.985728131,0.8090602159500122
60,best_ecgcpc_ft,1.516908884048462,0.6758323311805725,16854.482521185,0.8065615892410278
59,best_ecgcpc_ft,1.5189568996429443,0.6738159656524658,14871.839870968,0.8016802072525024
58,best_ecgcpc_ft,1.5170191526412964,0.6802166104316711,18116.399847189,0.805609941482544
57,best_ecgcpc_ft,1.525490164756775,0.6754868030548096,11662.683255458,0.8031357526779175
64,best_ecgcpc_lp,1.7459036111831665,0.6661861538887024,8228.395214139,0.7705605626106262
